publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
Faraday Symposia of the Chemical Society	0301-5696		1977	11		1978	13		https://journalarchives.jisc.ac.uk/results?tab=title&jid=33323033353736393031%23373335353632333532				fulltext		
Faraday Symposia of the Chemical Society	0301-5696		1980	14		1984	19		https://journalarchives.jisc.ac.uk/results?tab=title&jid=33323033353736393031%23373335353632333532				fulltext		
Faulkner Studies	0011-1619		1952	1	1	1954	3	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331323536343035373835				fulltext		
Fetal and Maternal Medicine Review	0965-5395	1469-5065	1989	1	1	1995	7	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%23313332303135343135				fulltext		
Fifteenth Century Studies	01640933		1978	1	Jan 1, 1978	1985	11	Jan 1, 1985	https://journalarchives.jisc.ac.uk/results?tab=title&jid=1818258				fulltext		
Fifteenth Century Studies	01640933		1987	12	Jan 1, 1987	1994	21	Jan 1, 1994	https://journalarchives.jisc.ac.uk/results?tab=title&jid=1818258				fulltext		
Fifteenth Century Studies	01640933		1996	22	Jan 1, 1996	1998	24	Jan 1, 1998	https://journalarchives.jisc.ac.uk/results?tab=title&jid=1818258				fulltext		
Fifteenth Century Studies	01640933		2000	25	Jan 1, 2000	2000	25	Jan 1, 2000	https://journalarchives.jisc.ac.uk/results?tab=title&jid=1818258				fulltext		
Film and History	0360-3695		1972	2	1	1995	25	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2332313637393731393539				fulltext		
Financial History Review	0968-5650	1474-0052	1994	1	1	1999	6	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2331393538383132333438				fulltext		
Foreign Affairs	0015-7120		1978	57	1	1995	74	6	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2333323330343939333034				fulltext		
Foreign Affairs; an American Quarterly Review	0015-7120		1922	1	1	1978	56	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2333393134343237343237				fulltext		
Foreign Policy Bulletin	1052-7036	1745-1302	1990	1	1	2000	11	5-6	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2333363437353136333234				fulltext		
Foreign Policy Bulletin	1052-7036	1745-1302	2002	12	1	2003	14	3-4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2333363437353136333234				fulltext		
Forestry	0015-752X	1464-3626	1927	1	1	1945	19	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2334323733323334343130				fulltext		
Forestry	0015-752X	1464-3626	1947	20	1	1948	22	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2334323733323334343130				fulltext		
Forestry	0015-752X	1464-3626	1950	23	1	1959	32	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2334323733323334343130				fulltext		
Forestry	0015-752X	1464-3626	1962	33	1	1995	68	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2334323733323334343130				fulltext		
Forum for Modern Language Studies	0015-8518	1471-6860	1965	I	1	1995	XXXI	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2331383233313237353133				fulltext		
Foundation	03064964		1973	4	Jan 1, 1973	2000	29	Fall 2000	https://journalarchives.jisc.ac.uk/results?tab=title&jid=1816914				fulltext		
French History	0269-1191	1477-4542	1987	1	1	1995	9	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2331333634303530353231				fulltext		
French Studies	0016-1128	1468-2931	1947	1	1	1947	1	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2333303432383739353333				fulltext		
French Studies	0016-1128	1468-2931	1965	XIX	3	1965	XIX	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2333303432383739353333				fulltext		
French Studies	0016-1128	1468-2931	1992	XLVI	1	1992	XLVI	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2333303432383739353333				fulltext		
French Studies Bulletin	0262-2750	1748-9180	1981	1	1	1995	16	57	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2333373630383630303439				fulltext		
Frontiers of Business Research in China	1673-7326	1673-7431	2007	1	1	2009	3	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%23383830323931373432				fulltext		
Frontiers of Economics in China	1673-3444	1673-3568	2006	1	1	2009	4	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2333353830343737383436				fulltext		
Frontiers of Education in China	1673-341X	1673-3533	2006	1	1	2009	4	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%23393932303934373938				fulltext		
Frontiers of History in China	1673-3401	1673-3525	2006	1	1	2009	4	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2333363439373535343836				fulltext		
Frontiers of Literary Studies in China	1673-7318	1673-7423	2007	1	1	2009	3	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2334313936393334373035				fulltext		
Frontiers of Medical and Biological Engineering	0921-3775	1568-5578	2000	10	1	2001	11	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%23393139323533363533				fulltext		
Frontiers of Philosophy in China	1673-3436	1673-355X	2006	1	1	2009	4	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2333353139323435373835				fulltext		
Gender, Place & Culture	0966-369X	1360-0524	1994	1	1	1996	3	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32353432333534303536%2333333939303735393835				fulltext		
Gene Therapy and Regulation	1388-9532	1568-5586	2000	1	1	2001	1	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2332393932383538393533				fulltext		
Gene Therapy and Regulation	1388-9532	1568-5586	2003	2	1	2004	2	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2332393932383538393533				fulltext		
General Linguistics	00166553		1955	1	1	1962	5	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=1816443				fulltext		
General Linguistics	00166553		1964	6	1	1964	6	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=1816443				fulltext		
General Linguistics	00166553		1966	6	2	1997	37	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=1816443				fulltext		
General Linguistics	00166553		1999	39	1	2003	43	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=1816443				fulltext		
Genetical Research	0016-6723	1469-5073	1960	1	1	1996	68	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2333383435303730353335				fulltext		
Geological Magazine	0016-7568	1469-5081	1865	2	13	1884	1	10	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2332393437353031343438				fulltext		
Geological Magazine	0016-7568	1469-5081	1886	3	6	1913	10	12	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2332393437353031343438				fulltext		
Geological Magazine	0016-7568	1469-5081	1915	2	1	1917	4	11	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2332393437353031343438				fulltext		
Geological Magazine	0016-7568	1469-5081	1919	6	10	1996	133	6	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2332393437353031343438				fulltext		
German History		1477-089X	1984	1	1	1995	13	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2332343738353234353230				fulltext		
Glasgow Mathematical Journal	0017-0895	1469-509X	1967	8	1	1998	40	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2331393339313134383233				fulltext		
Global Responsibility to Protect	1875-9858	1875-984X	2009	1	1	2009	1	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2332323236333931303232				fulltext		
Glycobiology	0959-6658	1460-2423	1990	1	1	1995	5	8	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%23343339383233393539				fulltext		
Greece and Rome	0017-3835	1477-4550	1931	1	1	1953	22	66	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%23313430383333313033				fulltext		
Greece and Rome	0017-3835	1477-4550	1955	2	1	2000	47	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%23313430383333313033				fulltext		
Greek and Byzantine Studies	0017-3916		1958	1	1	1958	1	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2332373830303435383139				fulltext		
Greek, Roman and Byzantine Studies	0017-3916		1959	2	1	1960	3	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331323338323733383332				fulltext		
Greek, Roman and Byzantine Studies	0017-3916		1963	4	1	1986	27	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331323338323733383332				fulltext		
Greek, Roman and Byzantine Studies	0017-3916		1989	30	1	1993	34	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331323338323733383332				fulltext		
Greek, Roman and Byzantine Studies	0017-3916		1995	36	1	1995	36	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331323338323733383332				fulltext		
Green Chemistry	1463-9262	1463-9270	1999	1	1	2007	9	12	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33323033353736393031%2331363230303030373539				fulltext		
Grotiana	0167-3831	1876-0759	2007	26	1	2009	30	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%23313039393132313636				fulltext		
Haematologia	0017-6559	1568-5594	2000	30	1	2002	32	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331313936363333393336				fulltext		
Hawwa	1569-2078	1569-2086	2003	1	1	2009	7	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%23363432363932333133				fulltext		
Haydn Society Journal			1979	1	Summer 1979	1980	2	Jan 1, 1980	https://journalarchives.jisc.ac.uk/results?tab=title&jid=1817446				fulltext		
Haydn Society Journal			1982	3	Jan 1, 1982	2000	20	Jan 1, 2000	https://journalarchives.jisc.ac.uk/results?tab=title&jid=1817446				fulltext		
Health Education Research	0268-1153	1465-3648	1986	1	1	1995	10	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2333383933323338373033				fulltext		
Health Policy and Planning	0268-1080	1460-2237	1986	1	1	1995	10	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2332343836363734313334				fulltext		
Health Promotion International	0957-4824	1460-2245	1986	1	1	1995	10	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2332393836343531393137				fulltext		
Helsinki Monitor	0925-0972	1571-814X	2000	11	1	2007	18	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331313633323538313532				fulltext		
Higher Education Review	00181609		1968	1	1	2000	32	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=1820949				fulltext		
Historian	0265-1076		1938	1	1	1982	45	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331323438353139363435				fulltext		
Historian	0265-1076		1984	46	2	1995	57	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331323438353139363435				fulltext		
Historians Film Committee Newsletter	0360-3695		1971	1	1	1971	1	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331343734343432303434				fulltext		
Historical Materialism	1465-4466	1569-206X	1997	1	1	2009	17	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2332363637383334373536				fulltext		
Historical Methods	0161-5440		1978	11	1	1995	28	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2332383031383737303631				fulltext		
Historical Methods Newsletter	0161-5440		1967	1	1	1977	10	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2332393731363337393032				fulltext		
Historical Outlook	0037-7996		1918	9	7	1933	24	8	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331323836373637393333				fulltext		
Historiography East and West	1570-1867	1570-1867	2003	1	1	2004	2	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331393436393632333032				fulltext		
History of Economics Society Bulletin	1042-7716		1979	1	1	1984	5	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%233130363634333832				fulltext		
History of Economics Society Bulletin	1042-7716		1986	7	1	1989	11	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%233130363634333832				fulltext		
History of Science	0007-0874		1962	1		1971	10		https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331353837363534333331				fulltext		
History of Science	0007-0874		1973	11	1	1990	28	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331353837363534333331				fulltext		
History Teacher's Magazine	0018-2745		1909	1	1	1918	9	6	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%23363233313737373938				fulltext		
History Today	0018-2753		1951	1	1	1995	45	12	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331363535313431373033				fulltext		
History Workshop Journal	1363-3554	1477-4569	1976	1	1	1995	40	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2332373032363731343834				fulltext		
Hobbes Studies	0921-5891	1875-0257	2000	13	1	2009	22	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2333353034383630333330				fulltext		
Holocaust and Genocide Studies	8756-6583	1476-7937	1986	1	1	1995	9	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2333383138303032323831				fulltext		
Horizons in Biblical Theology	0195-9085	1871-2207	2000	22	1	2009	31	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2333373531353033363836				fulltext		
Housing Studies	0267-3037	1466-1810	1986	1	1	1996	11	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32353432333534303536%2331323134303533383333				fulltext		
Human Biology	0018-7143		1929	1	1	1995	67	6	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331323533323031303733				fulltext		
Human Molecular Genetics	0964-6906	1460-2083	1992	1	1	1995	4	12	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2332373338363733363233				fulltext		
Human Reproduction	0268-1161	1460-2350	1986	1	1	1995	10	12	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2332373630383839333834				fulltext		
Human Rights Case Digest	0965-934X	1571-8131	1999	10	1	2008	18	7-8	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2333383431313539343433				fulltext		
Humanity and Society	01605976		1977	1	1	2000	24	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=1817348				fulltext		
ICE Proceedings		1753-7789	1952	1	1	1991	91	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33333337363337383230%2333303131343830313434				fulltext		
ICE Transactions		1753-7851	1836	1	1836	1836	1	1836	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33333337363337383230%23393930393334393833				fulltext		
ICE Transactions		1753-7851	1838	2	1838	1842	3	1842	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33333337363337383230%23393930393334393833				fulltext		
ICES Journal du Conseil	1054-3139	1095-9289	1926	1	1	1939	14	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2333383531303834373237				fulltext		
ICES Journal du Conseil	1054-3139	1095-9289	1947	15	1	1992	49	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2333383531303834373237				fulltext		
ICES Journal of Marine Science	1054-3139	1095-9289	1993	50	1	1995	52	6	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2332383530363936353036				fulltext		
icesjms		1095-9289	1904	s1	13a	1904	s1	13a	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2332303336363732333631				fulltext		
icesjms		1095-9289	1907	s1	37	1907	s1	37	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2332303336363732333631				fulltext		
icesjms		1095-9289	1909	s1	45	1911	s1	61	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2332303336363732333631				fulltext		
icesjms		1095-9289	1914	s1	68	1914	s1	68	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2332303336363732333631				fulltext		
IMA Journal of Applied Mathematics	0272-4960	1464-3634	1965	1	1	1995	55	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2332313036333734383734				fulltext		
IMA Journal of Management Mathematics	1471-678X	1471-6798	1971	8	2	1971	8	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2334323331313032313239				fulltext		
IMA Journal of Management Mathematics	1471-678X	1471-6798	1986	1	1	1986	1	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2334323331313032313239				fulltext		
IMA Journal of Management Mathematics	1471-678X	1471-6798	1988	2	1	1989	2	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2334323331313032313239				fulltext		
IMA Journal of Management Mathematics	1471-678X	1471-6798	1991	3	1	1993	5	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2334323331313032313239				fulltext		
IMA Journal of Management Mathematics	1471-678X	1471-6798	1995	6	1	1995	6	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2334323331313032313239				fulltext		
IMA Journal of Mathematical Control and Information	0265-0754	1471-6887	1984	1	1	1995	12	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2333383337383934323036				fulltext		
IMA Journal of Numerical Analysis	0272-4979	1464-3642	1981	1	1	1995	15	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%23353939383935323832				fulltext		
IMAGES	1871-7993	1871-8000	2007	1	1	2009	3	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%23323833363035343834				fulltext		
Indo-Iranian Journal	0019-7246	1572-8536	2000	43	1	2003	46	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%23383830393531363535				fulltext		
Indo-Iranian Journal	0019-7246	1572-8536	2005	48	1-2	2009	52	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%23383830393531363535				fulltext		
Industrial and Corporate Change	0960-6491	1464-3650	1992	1	1	1995	4	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%23353738323939383539				fulltext		
Industrial Law journal	0305-9332	1464-3669	1972	1	1	1984	13	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2331323935383531393739				fulltext		
Industrial Law journal	0305-9332	1464-3669	1972	1	1	1984	13	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2331323935383531393739				fulltext		
Industrial Law journal	0305-9332	1464-3669	1988	17	1	1995	24	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2331323935383531393739				fulltext		
Industrial Law journal	0305-9332	1464-3669	1988	17	1	1995	24	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2331323935383531393739				fulltext		
Inner Asia	1464-8172	2210-5018	2000	2	1	2009	11	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331393736393032373530				fulltext		
Institute of the History of Medicine, Bulletin	0007-5140		1933	1		1938	6		https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2333343733323735363536				fulltext		
Integrative and Comparative Biology	1540-7063	1557-7023	1961	1	1	1995	35	6	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%23363133373638393536				fulltext		
Interdisciplinary Studies in Literature and Environment	1076-0962	1759-1090	1993	1	1	1994	2	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2331373334373138343431				fulltext		
International and Comparative Law Quarterly	0020-5893	1471-6895	1952	1	Pt2	1995	44	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%23333431393835363033				fulltext		
International and Comparative Law Quarterly	0020-5893	1471-6895	1952	1	1	1995	44	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%23333431393835363033				fulltext		
International Bibliography of Military History	0378-7869	2211-5757	2000	21	1	2009	30	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2333393035323232303736				fulltext		
International Community Law Review	1871-9740	1871-9732	2006	8	1	2009	11	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2332373035373833313638				fulltext		
International Criminal Law Review	1567-536X	1571-8123	2001	1	1-2	2009	9	5	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2333373439373832323930				fulltext		
International Education	01605429		1972	2	1	2001	30	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=1818844				fulltext		
International Immunology	0953-8178	1460-2377	1989	1	1	1995	7	12	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2331383737353336383330				fulltext		
International Journal for Quality in Health Care	1353-4505	1464-3677	1989	1	1	1989	1	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%23383537363832303633				fulltext		
International Journal for Quality in Health Care	1353-4505	1464-3677	1991	3	1	1995	7	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%23383537363832303633				fulltext		
International Journal of Children's Rights, The	0927-5568	1571-8182	2002	10	4	2002	10	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2332393738303631393535				fulltext		
International Journal of Comparative and Applied Criminal Justice	01924036		1977	1	1	1991	15	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=1820976				fulltext		
International Journal of Comparative and Applied Criminal Justice	01924036		1993	17	1	2000	24	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=1820976				fulltext		
International Journal of Cultural Property	0940-7391	1465-7317	1992	1	1	1997	6	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%23313232363232313139				fulltext		
International Journal of Education and Religion	1389-9791	1570-0623	2002	3	1	2003	4	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%233239353832373235				fulltext		
International Journal of Environmental Studies	0020-7233	1029-0400	1971	1	1-4	1996	51	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32353432333534303536%2332363034393631373238				fulltext		
International Journal of Epidemiology	0300-5771	1464-3685	1972	1	1	1995	24	6	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%23363132343437363536				fulltext		
International Journal of Law and Information Technology	0967-0769	1464-3693	1993	1	1	1995	3	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2333343239313737323130				fulltext		
International Journal of Law, Policy and the Family	1360-9939	1464-3707	1987	1	1	1995	9	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2332373831383230353739				fulltext		
International Journal of Lexicography	0950-3846	1477-4577	1988	1	1	1995	8	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2333343637313431323531				fulltext		
International Journal of Marine and Coastal Law, The	0927-3522	1571-8085	2003	18	2	2003	18	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2334303138303632373934				fulltext		
International Journal of Middle East Studies	0020-7438	1471-6380	1970	1	1	1999	31	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2333383638383133333530				fulltext		
International Journal of Myriapodology	1875-2535	1875-2543	2008	1	1	2009	2	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2332363931393333383037				fulltext		
International Journal of Public Opinion Research	0954-2892	1471-6909	1989	1	1	1995	7	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2331343337343335363439				fulltext		
International Journal of Public Theology	1872-5171	1569-7320	2007	1	1	2009	3	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2334323737303836363933				fulltext		
International Journal of Refugee Law	0953-8186	1464-3715	1989	1	1	1995	7	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2333353736343532363136				fulltext		
International Journal of Technology Assessment in Health Care	0266-4623	1471-6348	1985	1	1	1998	14	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2333393330363435393030				fulltext		
International Journal of Water Resources Development	0790-0627	1360-0648	1984	2	2-3	1984	2	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32353432333534303536%2333333634313038363730				fulltext		
International Journal of Water Resources Development	0790-0627	1360-0648	1987	3	1	1996	12	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32353432333534303536%2333333634313038363730				fulltext		
International Journal on Minority and Group Rights	1385-4879	1571-8115	1993	1	1	2009	16	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%23393039353639343835				fulltext		
International Labor and Working-Class History	0147-5479	1471-6445	1972	1		1998	54		https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2332353038303638343131				fulltext		
International Labour Law Reports Online	0168-6526	2211-6028	2001	22	1: 2001-2002	2004	25	1: 2004-2005	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331363530353330393930				fulltext		
International Labour Law Reports Online	0168-6526	2211-6028	2006	27	1: 2006-2007	2006	27	1: 2006-2007	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331363530353330393930				fulltext		
International Labour Law Reports Online	0168-6526	2211-6028	2008	29	1: 2008-2009	2009	30	1: 2009-2010	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331363530353330393930				fulltext		
International Law Forum	1388-9036	1571-8042	2003	5	1	2003	5	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331363537333633353131				fulltext		
International Law FORUM du droit international	1388-9036	1571-8042	1999	1	1	2005	7	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2332313935353237383632				fulltext		
International Mathematics Research Notices	1073-7928	1687-1197	1991	1991	1	1995	1995	13	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%23313437313236323036				fulltext		
International Monetary Fund Staff Papers	1020-7635		1950	1	1	1990	37	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%233935373239303833				fulltext		
International Monetary Fund, Staff Papers	1020-7635		1991	38	1	1995	42	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2333343432333737353238				fulltext		
International Negotiation	1382-340X	1571-8069	1996	1	2	2009	14	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2332323737393032353732				fulltext		
International Organization	0020-8183	1531-5088	1947	1	1	1996	50	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2332353138303539323034				fulltext		
International Organizations Law Review	1572-3739	1572-3747	2004	1	1	2009	6	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2333343031313236333031				fulltext		
International Planning Studies	1356-3475	1469-9265	1996	1	1	1996	1	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32353432333534303536%2334303237373134343636				fulltext		
International Review of Poultry Science	1877-9654		1928	1	1	1940	13	1-2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2332303035393630333436				fulltext		
