publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
Catholic Historical Review	0008-8080		1915	1		1995	81	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/1053.html				fulltext			
Central European History	0008-9389	1569-1616	1968	1	1	1999	32	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/CCC.html				fulltext			
Cerebral Cortex	1047-3211	1460-2199	1991	1	1	1995	5	6	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/cercor.html				fulltext			
Chemical Communications (London)			1965		1	1968		24	http://www.jiscjournalarchives.ac.uk/browse/rsc/titles/C1.html				fulltext			
Chemical Communications Cambridge	1359-7345		1996		1	2004	004	024	http://www.jiscjournalarchives.ac.uk/browse/rsc/titles/CC.html				fulltext			
Chemical Senses		1464-3553	1974	1	1	1995	20	6	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/chemse.html				fulltext			
Chemical Society Reviews	0306-0012	1460-4744	1972	1	1	2004	33	9	http://www.jiscjournalarchives.ac.uk/browse/rsc/titles/CS.html				fulltext			
Chicago Review	0009-3696			2	4		2	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/5067.html				fulltext			
Chicago Review	0009-3696		1946	1	1	1986	35	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/5067.html				fulltext			
Chicago Review	0009-3696		1988	36	1	1990	37	2	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/5067.html				fulltext			
Chicago Review	0009-3696		1992	37	4	1995	41	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/5067.html				fulltext			
Church History	0009-6407	1755-2613	1932	1	1	2003	72	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/CHH.html				fulltext			
City	1360-4813	1470-3629	1996	1	1-2	1996	1	5-6	http://www.jiscjournalarchives.ac.uk/browse/tf/titles/ccit20.html				fulltext			
Classical and Quantum Gravity	0264-9381		1984	1	1	1998	15	12	http://www.jiscjournalarchives.ac.uk/browse/iop/titles/0264-9381.html				fulltext			
Classical Weekly	0009-8418		1907	1		1921	16		http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/3080.html				fulltext			
Classical Weekly	0009-8418		1923	17		1936	30		http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/3080.html				fulltext			
Classical Weekly	0009-8418		1938	31		1996	89	6	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/3080.html				fulltext			
Clinical Physics and Physiological Measurement	0143-0815		1980	1	1	1992	13	4	http://www.jiscjournalarchives.ac.uk/browse/iop/titles/0143-0815.html				fulltext			
Combinatorics, Probability and Computing	0963-5483	1469-2163	1992	1	1	1996	5	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/CPC.html				fulltext			
Combustion Theory and Modelling	1364-7830		1997	1	1	1998	2	4	http://www.jiscjournalarchives.ac.uk/browse/iop/titles/1364-7830.html				fulltext			
Community Development Journal	0010-3802	1468-2656	1966	1	1	1995	30	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/cdj.html				fulltext			
Comparative Drama	0010-4078		1967	1	1	1985	19	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/h150.html				fulltext			
Comparative Drama	0010-4078		1987	21	1	1995	29	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/h150.html				fulltext			
Comparative Sociology	1569-1322	1569-1330	1970	11	1	1970	11	4	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/15691322.html				fulltext			
Comparative Sociology	1569-1322	1569-1330	1976	17	1	1989	30	3	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/15691322.html				fulltext			
Comparative Sociology	1569-1322	1569-1330	2000	41	1	2008	7	4	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/15691322.html				fulltext			
Comparative Studies in Society and History	0010-4175	1475-2999	1958	1	1	1996	38	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/CSS.html				fulltext			
Composite Interfaces	0927-6440	1568-5543	1993	1	1	1998	6	4	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/09276440.html				fulltext			
Composite Interfaces	0927-6440	1568-5543	2003	10	1	2008	15	6	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/09276440.html				fulltext			
Contemporary European History	0960-7773	1469-2171	1992	1	1	1998	7	3	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/CEH.html				fulltext			
Contemporary Organic Synthesis	1350-4894		1994	1	1	1997	4	5	http://www.jiscjournalarchives.ac.uk/browse/rsc/titles/CO.html				fulltext			
Continuity and Change	0268-4160		1986	1	1	1996	11	3	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/CXN.html				fulltext			
Contributions to Political Economy	0277-5921	1464-3588	1982	1	1	1995	14	1	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/conpec.html				fulltext			
Criticism	0011-1589		1959	1	1	1995	37	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/z303.html				fulltext			
Crustaceana		1568-5403	1960	1	1	2008	81	10	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/0011216X.html				fulltext			
CrystEngComm		1466-8033	1999	1	1	2004	6	104	http://www.jiscjournalarchives.ac.uk/browse/rsc/titles/CE.html				fulltext			
Current History	0011-3530		1941	1	1	1995	94	596	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/7508.html				fulltext			
Dead Sea Discoveries	0929-0761	1568-5179	1994	1	1	1999	6	3	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/09290761.html				fulltext			
Dead Sea Discoveries	0929-0761	1568-5179	2006	13	1	2008	15	3	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/09290761.html				fulltext			
Designed Monomers & Polymers		1568-5551	1998	1	1	2008	11	5	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/1385772X.html				fulltext			
Development and Psychopathology	0954-5794	1469-2198	1989	1	1	1996	8	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/DPP.html				fulltext			
Die Welt des Islams	0043-2539	1570-0607	1951	1	1	1959	6	1	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/00432539.html				fulltext			
Die Welt des Islams	0043-2539	1570-0607	1961	6	3	1966	10	3	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/00432539.html				fulltext			
Die Welt des Islams	0043-2539	1570-0607	1968	11	1	1969	12	4	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/00432539.html				fulltext			
Die Welt des Islams	0043-2539	1570-0607	1971	13	1	1971	13	3	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/00432539.html				fulltext			
Die Welt des Islams	0043-2539	1570-0607	1973	14	1	1982	22	1	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/00432539.html				fulltext			
Die Welt des Islams	0043-2539	1570-0607	1984	23	1	2008	48	2	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/00432539.html				fulltext			
Discussions of the Faraday Society	0366-9033		1947	2		1971	52		http://www.jiscjournalarchives.ac.uk/browse/rsc/titles/DF.html				fulltext			
Distributed Systems Engineering	0967-1846		1993	1	1	1998	5	4	http://www.jiscjournalarchives.ac.uk/browse/iop/titles/0967-1846.html				fulltext			
Early American Literature Newsletter	0012-8163		1966	1	1	1995	30	3	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/h071.html				fulltext			
Early Music	0306-1078	1741-7260	1973	1	1	1986	14	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/earlyj.html				fulltext			
Early Music	0306-1078	1741-7260	1998	1	Index	1998	1	Index	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/earlyj.html				fulltext			
Early Science and Medicine	1383-7427	1573-3823	1996	1	1	2008	13	4	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/13837427.html				fulltext			
East European Quarterly	0012-8449		1967	1	2	1995	29	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/b094.html				fulltext			
Ecclesiastical Law Journal		1751-8539	1987	1	1	2006	8	39	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/ELJ.html				fulltext			
Econometric Theory	0266-4666	1469-4360	1985	1	1	1997	13	6	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/ECT.html				fulltext			
Economics and Philosophy	0266-2671	1474-0028	1985	1	1	1999	15	2	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/EAP.html				fulltext			
ELT Journal	0951-0893	1477-4526	1946	1	1	1947	1	7	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/eltj.html				fulltext			
ELT Journal	0951-0893	1477-4526	1981	36	1	1990	44	3	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/eltj.html				fulltext			
ELT Journal	0951-0893	1477-4526	1992	46	1	1995	49	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/eltj.html				fulltext			
English	0013-8215	1756-1124	1936	1	1	1995	44	180	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/english.html				fulltext			
English Fiction in Transition (1880-1920)	0013-8339		1957	1	1	1995	38	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/x151.html				fulltext			
English Language and Linguistics	1360-6743	1469-4379	1997	1	1	1998	2	2	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/ELL.html				fulltext			
English Studies in Africa	0013-8398		1958	1	1	1995	38	2	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/4273.html				fulltext			
English Today	0266-0784	1474-0567	1985	1	1	2000	16	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/ENG.html				fulltext			
Environment and Development Economics		1469-4395	1996	1	1	1996	1	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/EDE.html				fulltext			
Environmental Conservation	0376-8929	1469-4387	1974	1	1	1996	23	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/ENC.html				fulltext			
Environmental Practice	1466-0466	1466-0474	1999	1	1	2001	3	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/ENP.html				fulltext			
Epidemiologic Reviews		1478-6729	1979	1	1	1995	17	2	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/epirev.html				fulltext			
Epidemiology and Infection	0022-1724	1469-4409	1901	1	1	1996	117	3	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/HYG.html				fulltext			
Ergodic Theory and Dynamical Systems	0143-3857	1469-4417	1981	1	1	1996	16	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/ETS.html				fulltext			
Essays in Criticism	0014-0856	1471-6852	1951	I	1	1995	XLV	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/escrit.html				fulltext			
European Business Organization Law Review	1566-7529	1741-6205	2000	1	1	2002	3	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/EBR.html				fulltext			
European Heart Journal		1522-9645	1980	1	1	1995	16	12	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/ehj.html				fulltext			
European Journal of Applied Mathematics	0956-7925	1469-4425	1990	1	1	1996	7	6	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/EJM.html				fulltext			
European Journal of Crime, Criminal Law and Criminal Justice	0928-9569	1571-8174	1993	1	1	1998	6	2	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/09289569.html				fulltext			
European Journal of Crime, Criminal Law and Criminal Justice	0928-9569	1571-8174	2005	13	4	2008	16	3	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/09289569.html				fulltext			
European Journal of Health Law	0929-0273	1571-8093	1994	1	1	1996	3	3	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/09290273.html				fulltext			
European Journal of Health Law	0929-0273	1571-8093	2006	13	2	2008	15	3	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/09290273.html				fulltext			
European Journal of International Law	0938-5428	1464-3596	1990	1	1	1995	6	1	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/ejilaw.html				fulltext			
European Journal of Migration and Law		1571-8166	1999	1	1	2008	10	3	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/1388364X.html				fulltext			
European Journal of Physics	0143-0807		1980	1	1	1998	19	6	http://www.jiscjournalarchives.ac.uk/browse/iop/titles/0143-0807.html				fulltext			
European Journal of Sociology	0003-9756	1474-0583	1960	1	1	2000	41	2	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/EUR.html				fulltext			
European Planning Studies	0965-4313	1469-5944	1993	1	1	1996	4	6	http://www.jiscjournalarchives.ac.uk/browse/tf/titles/ceps20.html				fulltext			
European Review	1062-7987	1474-0575	1993	1	1	2000	8	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/ERW.html				fulltext			
European Review of Agriculture Economics	0165-1587	1464-3618	1973	1	1	1974	2	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/eurrag.html				fulltext			
European Review of Agriculture Economics	0165-1587	1464-3618	1976	3	1	1995	22	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/eurrag.html				fulltext			
European Sociological Review	0266-7215	1468-2672	1985	1	1	1995	11	3	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/eursoj.html				fulltext			
Exchange	0166-2740		1996	25	1	2008	37	3	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/01662740.html				fulltext			
Experimental Agriculture	0014-4797	1469-4441	1965	1	1	1996	32	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/EAG.html				fulltext			
Explicator	0014-4940		1942	1		1995	53	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/1084.html				fulltext			
Explorations in Entrepreneurial History	0014-4983		1949	1	1	1958	10	3	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/6432.html				fulltext			
Explorations in Entrepreneurial History	0014-4983		1963	1	1	1990	27	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/6432.html				fulltext			
Family Practice	0263-2136	1460-2229	1984	1	1	1995	12	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/fampract.html				fulltext			
Faraday Discussions	1359-6640	1364-5498	1991	92		2004	127	1	http://www.jiscjournalarchives.ac.uk/browse/rsc/titles/FD.html				fulltext			
Faraday Discussions of the Chemical Society	0301-7249		1972	53		1991	91		http://www.jiscjournalarchives.ac.uk/browse/rsc/titles/DC.html				fulltext			
Faraday Special Discussions of the Chemical Society	0370-9302		1972	2		1972	2		http://www.jiscjournalarchives.ac.uk/browse/rsc/titles/S1.html				fulltext			
Faraday Symposia of the Chemical Society	0301-5696		1972	6		1975	10		http://www.jiscjournalarchives.ac.uk/browse/rsc/titles/FS.html				fulltext			
Faraday Symposia of the Chemical Society	0301-5696		1977	11		1978	13		http://www.jiscjournalarchives.ac.uk/browse/rsc/titles/FS.html				fulltext			
Faraday Symposia of the Chemical Society	0301-5696		1980	14		1984	19		http://www.jiscjournalarchives.ac.uk/browse/rsc/titles/FS.html				fulltext			
Faulkner Studies	0011-1619		1952	1	1	1954	3	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/7631.html				fulltext			
Faulkner Studies	0011-1619		1956	1	1	1956	1	3	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/7631.html				fulltext			
Faulkner Studies	0011-1619		1958	2	1	1995	36	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/7631.html				fulltext			
Fetal and Maternal Medicine Review	0965-5395	1469-5065	1989	1	1	1995	7	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/FMR.html				fulltext			
Financial History Review	0968-5650	1474-0052	1994	1	1	1999	6	2	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/FHR.html				fulltext			
Foreign Affairs; an American Quarterly Review	0015-7120		1922	1	1	1995	74	6	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/1086.html				fulltext			
Foreign Policy Bulletin	1052-7036	1745-1302	1990	1	1	2000	11	5-6	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/FPB.html				fulltext			
Foreign Policy Bulletin	1052-7036	1745-1302	2002	12	1	2003	14	3-4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/FPB.html				fulltext			
Forestry		1464-3626	1927	1	1	1945	19	1	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/foresj.html				fulltext			
Forestry		1464-3626	1947	20	1	1948	22	2	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/foresj.html				fulltext			
Forestry		1464-3626	1950	23	1	1959	32	2	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/foresj.html				fulltext			
Forestry		1464-3626	1962	33	1	1995	68	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/foresj.html				fulltext			
Forum for Modern Language Studies	0015-8518	1471-6860	1965	I	1	1995	XXXI	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/formod.html				fulltext			
French History	0269-1191	1477-4542	1987	1	1	1995	9	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/french.html				fulltext			
French Studies	0016-1128	1468-2931	1947	1	1	1947	1	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/frestu.html				fulltext			
French Studies	0016-1128	1468-2931	1965	XIX	3	1965	XIX	3	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/frestu.html				fulltext			
French Studies	0016-1128	1468-2931	1992	XLVI	1	1992	XLVI	1	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/frestu.html				fulltext			
French Studies Bulletin	0262-2750	1748-9180	1981	1	1	1995	16	57	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/frebul.html				fulltext			
Gender, Place & Culture		1360-0524	1994	1	1	1996	3	3	http://www.jiscjournalarchives.ac.uk/browse/tf/titles/cgpc20.html				fulltext			
Genetical Research	0016-6723	1469-5073	1960	1	1	1996	68	3	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/GRH.html				fulltext			
Geological Magazine	0016-7568	1469-5081	1864	1	1	1996	133	6	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/GEO.html				fulltext			
German History			1984	1	1	1995	13	3	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/gh.html				fulltext			
Glasgow Mathematical Journal	0017-0895		1952	1	1	1998	40	3	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/GMJ.html				fulltext			
Glycobiology	0959-6658	1460-2423	1990	1	1	1995	5	8	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/glycob.html				fulltext			
Greece and Rome	0017-3835	1477-4550	1931	1	1	2000	47	2	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/GAR.html				fulltext			
Greek and Byzantine Studies	0017-3916		1958	1	1	1960	3	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/5124.html				fulltext			
Greek and Byzantine Studies	0017-3916		1963	4	1	1986	27	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/5124.html				fulltext			
Greek and Byzantine Studies	0017-3916		1989	30	1	1993	34	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/5124.html				fulltext			
Greek and Byzantine Studies	0017-3916		1995	36	1	1995	36	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/5124.html				fulltext			
Green Chemistry	1463-9262	1463-9270	1999	1	1	2004	6	12	http://www.jiscjournalarchives.ac.uk/browse/rsc/titles/GC.html				fulltext			
Health Education Research	0268-1153	1465-3648	1986	1	1	1995	10	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/her.html				fulltext			
Health Policy and Planning	0268-1080	1460-2237	1986	1	1	1995	10	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/heapol.html				fulltext			
Health Promotion International	0957-4824	1460-2245	1986	1	1	1995	10	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/heapro.html				fulltext			
Historian	0265-1076		1938	1	1	1982	45	1	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/3109.html				fulltext			
Historian	0265-1076		1984	46	2	1995	57	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/3109.html				fulltext			
Historians Film Committee Newsletter	0360-3695		1971	1	1	1995	25	1	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/v602.html				fulltext			
Historical Materialism	1465-4466		1997	1	1	2008	16	3	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/14654466.html				fulltext			
Historical Methods Newsletter	0161-5440		1967	1	1	1995	28	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/h347.html				fulltext			
History of Economics Society Bulletin	1042-7716	1469-9656	1979	1	1	1984	5	2	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/HET.html				fulltext			
History of Economics Society Bulletin	1042-7716	1469-9656	1986	7	1	1999	21	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/HET.html				fulltext			
History of Science	0007-0874		1962	1		1971	10		http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/e363.html				fulltext			
History of Science	0007-0874		1973	11	1	1990	28	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/e363.html				fulltext			
History Teacher's Magazine	0037-7996			74	3		74	3	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/3111.html				fulltext			
History Teacher's Magazine	0037-7996		1909	1	1	1995	86	6	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/3111.html				fulltext			
History Workshop Journal	1363-3554	1477-4569	1976	1	1	1995	40	1	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/hiwork.html				fulltext			
Holocaust and Genocide Studies	8756-6583	1476-7937	1986	1	1	1995	9	3	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/holgen.html				fulltext			
Housing Studies	0267-3037	1466-1810	1986	1	1	1996	11	4	http://www.jiscjournalarchives.ac.uk/browse/tf/titles/chos20.html				fulltext			
Human Biology	0018-7143		1929	1	1	1995	67	6	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/5243.html				fulltext			
Human Molecular Genetics	0964-6906	1460-2083	1992	1	1	1995	4	12	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/hmg.html				fulltext			
Human Reproduction	0268-1161	1460-2350	1986	1	1	1995	10	12	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/humrep.html				fulltext			
Human Rights Case Digest		1571-8131	1999	10	1	2006	16	5	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/0965934X.html				fulltext			
Human Rights Case Digest		1571-8131	2008	16	7	2008	16	7	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/0965934X.html				fulltext			
ICE Engineering Division Papers		1753-7797	1942	1	1942	1951	9	1951	http://www.jiscjournalarchives.ac.uk/browse/ice/titles/idivp.html				fulltext			
ICE Proceedings		1753-7789	1952	1	1	1991	91	4	http://www.jiscjournalarchives.ac.uk/browse/ice/titles/iicep.html				fulltext			
ICE Proceedings		1753-7797	1952	1	1	1956	5	6	http://www.jiscjournalarchives.ac.uk/browse/ice/titles/iicep.html				fulltext			
ICE Selected Engineering Papers		1753-7827	1923	1	1	1935	1	180	http://www.jiscjournalarchives.ac.uk/browse/ice/titles/isenp.html				fulltext			
ICE Transactions		1753-7851	1836	1	1836	1836	1	1836	http://www.jiscjournalarchives.ac.uk/browse/ice/titles/itrcs.html				fulltext			
ICE Transactions		1753-7851	1838	2	1838	1842	3	1842	http://www.jiscjournalarchives.ac.uk/browse/ice/titles/itrcs.html				fulltext			
ICES Journal du Conseil	1054-3139	1095-9289	1903	s1	1	1916	s1	70	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/icesjms.html				fulltext			
ICES Journal du Conseil	1054-3139	1095-9289	1918	s1	71	1918	s1	71	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/icesjms.html				fulltext			
ICES Journal du Conseil	1054-3139	1095-9289	1920	s1	72	1939	14	3	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/icesjms.html				fulltext			
ICES Journal du Conseil	1054-3139	1095-9289	1947	15	1	1995	52	6	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/icesjms.html				fulltext			
IMA Journal of Applied Mathematics	0272-4960	1464-3634	1965	1	1	1995	55	3	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/imamat.html				fulltext			
IMA Journal of Management Mathematics		1471-6798	1986	1	1	1986	1	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/imaman.html				fulltext			
IMA Journal of Management Mathematics		1471-6798	1988	2	1	1989	2	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/imaman.html				fulltext			
IMA Journal of Management Mathematics		1471-6798	1991	3	1	1993	5	1	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/imaman.html				fulltext			
IMA Journal of Management Mathematics		1471-6798	1995	6	1	1995	6	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/imaman.html				fulltext			
IMA Journal of Mathematical Control and Information	0265-0754	1471-6887	1984	1	1	1995	12	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/imamci.html				fulltext			
IMA Journal of Numerical Analysis	0272-4979	1464-3642	1981	1	1	1995	15	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/imanum.html				fulltext			
Industrial and Corporate Change	0960-6491	1464-3650	1992	1	1	1995	4	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/indcor.html				fulltext			
Industrial Law journal	0305-9332	1464-3669	1972	1	1	1995	24	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/indlaw.html				fulltext			
Institute of the History of Medicine, Bulletin	0007-5140		1933	1		1995	69	4	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/3069.html				fulltext			
Integrative and Comparative Biology	1540-7063	1557-7023	1961	1	1	1995	35	6	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/icbiol.html				fulltext			
Interdisciplinary Studies in Literature and Environment	1076-0962	1759-1090	1993	1	1	1994	2	1	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/isle.html				fulltext			
International and Comparative Law Quarterly	0020-5893	1471-6895	1952	1	1	1995	44	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/ILQ.html				fulltext			
International and Comparative Law Quarterly	0020-5893	1471-6895	1952	1	Pt2	1995	44	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/ILQ.html				fulltext			
International Immunology	0953-8178	1460-2377	1989	1	1	1995	7	12	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/intimm.html				fulltext			
International Journal for Quality in Health Care	1353-4505	1464-3677	1989	1	1	1995	7	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/intqhc.html				fulltext			
International Journal of Cultural Property	0940-7391	1465-7317	1992	1	1	1997	6	2	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/JCP.html				fulltext			
International Journal of Environmental Studies	0020-7233	1029-0400	1970	1	1-4	1996	51	3	http://www.jiscjournalarchives.ac.uk/browse/tf/titles/genv20.html				fulltext			
International Journal of Epidemiology	0300-5771	1464-3685	1972	1	1	1995	24	6	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/intjepid.html				fulltext			
International Journal of Law and Information Technology	0967-0769	1464-3693	1993	1	1	1995	3	3	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/inttec.html				fulltext			
International Journal of Law, Policy and the Family	1360-9939	1464-3707	1987	1	1	1995	9	3	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/lawfam.html				fulltext			
International Journal of Lexicography	0950-3846	1477-4577	1988	1	1	1995	8	4	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/lexico.html				fulltext			
International Journal of Middle East Studies	0020-7438	1471-6380	1970	1	1	1999	31	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/MES.html				fulltext			
